127.0.0.1 - - [14/Mar/2025:20:12:47 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:21:45 +0700] "GET /Project3_NongVanBach_2210900003/images/bangtrang.jpg HTTP/1.1" 200 2806
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/MuaHang/NVBListSanPham.jsp HTTP/1.1" 200 20953
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/gotbut.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/daythun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/thuocke.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/giayA4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/ghimgiay.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/mucviet.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:29:02 +0700] "GET /Project3_NongVanBach_2210900003/images/compa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:32:15 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/MuaHang/NVBGioHang.jsp HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:33:07 +0700] "GET /Project3_NongVanBach_2210900003/Frontend/MuaHang/NVBListSanPham.jsp HTTP/1.1" 200 20953
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:33:59 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/userLogin.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:37:38 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/NVBDangKyUser.jsp HTTP/1.1" 200 3786
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:37:38 +0700] "GET /Project3_NongVanBach_2210900003/Backend/css/formdangky.css HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:37:38 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:42:37 +0700] "GET /Project3_NongVanBach_2210900003/Backend/User/adminLogin.jsp HTTP/1.1" 200 2270
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:43:28 +0700] "POST /Project3_NongVanBach_2210900003/Backend/User/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:43:28 +0700] "GET /Project3_NongVanBach_2210900003/Backend/trangChu.jsp HTTP/1.1" 200 9481
0:0:0:0:0:0:0:1 - - [14/Mar/2025:20:43:28 +0700] "GET /Project3_NongVanBach_2210900003/Backend/css/styles.css HTTP/1.1" 200 4477
